custom_label,conf,IMAGE_FILENAME,SCALE,ROI_SIZE_MM,NON_TRANSPARENT_PIXELS,AREA_MM2,species,temp,sex,replicate,split
DROSO_01_SIM_19_F,0.906556963920593,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_left_CROPNUMBER_17_UUID_DROSO_01_SIM_19_F.jpg,0.408014571948998,4.3576875,96909,6.10564555078125,SIM,19,F,1,train
DROSO_01_VIR_19_M,0.910649478435516,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_right_CROPNUMBER_11_UUID_DROSO_01_VIR_19_M.jpg,0.352755905511811,5.0403125,110286,6.9484488046875,VIR,19,M,1,train
DROSO_01_MEL_19_M,0.912912130355835,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_64_UUID_DROSO_01_MEL_19_M.jpg,0.4796573875803,3.7068125,71975,4.53470615234375,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.919069886207581,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_63_UUID_DROSO_01_MEL_19_M.jpg,0.474576271186441,3.7465,70116,4.417581890625,MEL,19,M,1,train
DROSO_01_MEL_19_M,0.921635270118713,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_62_UUID_DROSO_01_MEL_19_M.jpg,0.335329341317365,5.30225,98922,6.2324724140625,MEL,19,M,1,train
DROSO_01_LUT_19_M,0.922652125358582,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_right_CROPNUMBER_20_UUID_DROSO_01_LUT_19_M.jpg,0.572890025575448,3.1035625,57643,3.63173416796875,LUT,19,M,1,train
DROSO_01_MEL_19_M,0.923354685306549,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_61_UUID_DROSO_01_MEL_19_M.jpg,0.41635687732342,4.270375,94077,5.92721848828125,MEL,19,M,1,train
DROSO_01_VIR_19_M,0.92351633310318,00_data/02_resized/crops/crop_2026-01-14_10-08-42.top_right_CROPNUMBER_10_UUID_DROSO_01_VIR_19_M.jpg,0.350547730829421,5.0720625,127529,8.03482516015625,VIR,19,M,1,train
DROSO_01_SIM_19_M,0.923586547374725,00_data/02_resized/crops/crop_2026-01-13_15-40-38.top_right_CROPNUMBER_17_UUID_DROSO_01_SIM_19_M.jpg,0.5,3.556,69914,4.4048551015625,SIM,19,M,1,train
DROSO_01_MEL_19_F,0.923946380615234,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_46_UUID_DROSO_01_MEL_19_F.jpg,0.350547730829421,5.0720625,101593,6.40075584765625,MEL,19,F,1,train
DROSO_01_EQU_19_M,0.92443197965622,00_data/02_resized/crops/crop_2026-01-14_09-38-42.top_right_CROPNUMBER_8_UUID_DROSO_01_EQU_19_M.jpg,0.542372881355932,3.2781875,61146,3.8524368515625,EQU,19,M,1,train
DROSO_01_LUT_19_F,0.924984753131867,00_data/02_resized/crops/crop_2026-01-14_09-09-20.top_left_CROPNUMBER_14_UUID_DROSO_01_LUT_19_F.jpg,0.400715563506261,4.4370625,96980,6.110118828125,LUT,19,F,1,train
DROSO_01_MEL_19_F,0.925286769866943,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_45_UUID_DROSO_01_MEL_19_F.jpg,0.4375,4.064,84191,5.30436187109375,MEL,19,F,1,train
DROSO_01_MEL_19_M,0.925640821456909,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_60_UUID_DROSO_01_MEL_19_M.jpg,0.510250569476082,3.4845625,76419,4.81469551171875,MEL,19,M,1,train
DROSO_01_MEL_19_F,0.92578935623169,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_left_CROPNUMBER_44_UUID_DROSO_01_MEL_19_F.jpg,0.44007858546169,4.0401875,80274,5.0575755703125,MEL,19,F,1,train
DROSO_01_MEL_19_M,0.925799608230591,00_data/02_resized/crops/crop_2026-01-13_16-09-56.top_right_CROPNUMBER_59_UUID_DROSO_01_MEL_19_M.jpg,0.501118568232662,3.5480625,69036,4.349537671875,MEL,19,M,1,train
